Game,global_sales,na_sales,eu_sales,jp_sales,other_sales,meta_critic_score,meta_user_score,release_date,Unnamed: 0,Watch_time,Stream_time,Peak_viewers,Peak_channels,Streamers,Average_viewers,Average_channels,Average_viewer_ratio
Star Wars: The Force Unleashed II,3980000.0,2480000.0,1090000.0,0.0,410000.0,59.4,6.0,2010-10-26,4841,3794040,872580,3334,63,4728,6,0,17.38
Stardew Valley,130000.0,60000.0,40000.0,0.0,20000.0,87.5,7.8,2017-04-11,105,1809802980,113511000,156731,1184,200791,3439,213,69.02000000000001
Starhawk,300000.0,180000.0,50000.0,30000.0,30000.0,77.0,7.8,2012-05-08,12704,239280,1320,2181,1,6,0,0,181.27
Starlink: Battle for Atlas,770000.0,520000.0,170000.0,0.0,80000.0,74.0,6.5,2018-10-16,3065,9954120,577980,12513,70,1971,18,0,33.54
State of Decay 2,460000.0,270000.0,140000.0,0.0,40000.0,66.0,5.3,2018-05-22,425,270450540,20161440,88526,1247,52495,513,38,21.31
State of Emergency,1930000.0,990000.0,710000.0,0.0,230000.0,69.0,6.2,2002-02-12,12255,268980,6000,2239,2,30,0,0,123.23
SteamWorld Dig 2,30000.0,20000.0,0.0,0.0,0.0,86.5,7.8,2018-06-19,2053,20775720,693240,55143,55,2483,38,0,90.73
Steel Battalion,100000.0,50000.0,20000.0,20000.0,0.0,83.0,8.5,2002-11-21,6271,1933740,16380,6630,4,49,3,0,317.3
Steel Battalion: Heavy Armor,130000.0,80000.0,20000.0,20000.0,10000.0,38.0,2.5,2012-06-19,22742,12720,540,60,1,2,0,0,23.56
Steep,480000.0,240000.0,200000.0,0.0,40000.0,72.0,6.5,2016-12-02,516,207075480,13052580,125291,702,78824,391,22,81.82
Steins;Gate,160000.0,50000.0,60000.0,20000.0,30000.0,83.0,8.7,2015-09-18,1749,27600240,1157220,16632,26,2096,51,0,133.68
Steins;Gate 0,220000.0,0.0,70000.0,140000.0,20000.0,82.5,8.2,2016-11-29,3866,6250020,451200,28578,18,802,9,0,55.61
Steins;Gate Elite,50000.0,0.0,0.0,50000.0,0.0,85.5,7.4,2019-02-19,8372,864660,157020,369,14,306,1,0,11.29
Stella Glow,260000.0,170000.0,10000.0,60000.0,20000.0,79.0,8.4,2015-11-17,10074,506640,89040,207,7,73,0,0,23.39
Still Life,70000.0,50000.0,20000.0,0.0,0.0,70.0,7.0,2005-06-06,8172,929760,75180,2112,8,178,0,0,44.66
Still Life 2,20000.0,0.0,20000.0,0.0,0.0,67.0,5.7,2009-08-11,14874,132900,21480,138,4,47,0,0,18.5
Stolen,50000.0,20000.0,20000.0,0.0,0.0,49.5,7.0,2005-04-21,12551,248880,1500,410,1,2,0,0,165.92
Stormrise,320000.0,240000.0,50000.0,0.0,30000.0,49.5,5.9,2009-03-24,24752,1980,180,27,1,2,0,0,11.0
Story of Seasons,440000.0,0.0,150000.0,280000.0,10000.0,76.0,7.9,2015-03-31,4831,3816720,213360,6413,22,304,6,0,67.26
Strange Brigade,140000.0,90000.0,40000.0,0.0,30000.0,74.0,6.1,2018-08-28,1496,36114660,1412880,30986,131,5113,67,2,229.02
