name,global_sales,na_sales,eu_sales,jp_sales,other_sales,meta_critic_score,meta_user_score,release_date
Shin Megami Tensei: Persona,220000.0,80000.0,0.0,130000.0,10000.0,78.0,3.8,2009-09-22
Shin Megami Tensei: Persona 3,450000.0,220000.0,30000.0,0.0,200000.0,86.0,5.8,2007-08-14
Shin Megami Tensei: Persona 3 FES,630000.0,220000.0,200000.0,160000.0,50000.0,89.0,7.4,2008-04-22
Shin Megami Tensei: Strange Journey,280000.0,130000.0,0.0,140000.0,10000.0,80.0,4.1,2010-03-23
Shining Force EXA,100000.0,0.0,0.0,100000.0,0.0,64.0,7.7,2007-03-20
Shining Force NEO,110000.0,60000.0,40000.0,0.0,10000.0,69.0,8.2,2005-10-20
Shining Force: Resurrection of the Dark Dragon,80000.0,60000.0,20000.0,0.0,0.0,77.0,8.4,2004-06-08
Shining Resonance Refrain,170000.0,80000.0,20000.0,50000.0,20000.0,68.5,7.4,2018-07-10
Shining Soul,140000.0,30000.0,10000.0,90000.0,0.0,58.0,8.2,2003-09-23
Shining Soul II,80000.0,60000.0,20000.0,0.0,0.0,74.0,8.3,2004-04-20
Shining Tears,90000.0,50000.0,40000.0,0.0,10000.0,61.0,6.5,2005-03-22
Shinobi,1190000.0,500000.0,350000.0,220000.0,110000.0,70.0,7.8,2002-11-10
Shinobido 2: Revenge of Zen,160000.0,50000.0,60000.0,20000.0,30000.0,55.0,6.5,2012-02-21
Ship Simulator Extremes,50000.0,0.0,40000.0,0.0,10000.0,49.0,6.4,2010-09-21
Shiren The Wanderer: The Tower of Fortune and the Dice of Fate,60000.0,10000.0,0.0,40000.0,10000.0,79.0,8.2,2016-07-26
Showdown: Legends of Wrestling,300000.0,150000.0,110000.0,0.0,40000.0,55.0,6.0,2004-06-22
Showtime Championship Boxing,60000.0,60000.0,0.0,0.0,0.0,35.0,4.4,2007-12-13
Shrek,360000.0,250000.0,100000.0,0.0,10000.0,49.0,4.3,2001-11-14
Shrek 2,3430000.0,2250000.0,1080000.0,40000.0,70000.0,71.0,5.3,2004-04-28
Shrek Extra Large,170000.0,130000.0,30000.0,0.0,0.0,36.0,7.1,2002-10-31
Shrek Smash n' Crash Racing,220000.0,180000.0,30000.0,0.0,10000.0,77.5,5.6,2006-11-21
Shrek Super Party,470000.0,280000.0,150000.0,0.0,40000.0,34.3,6.2,2002-11-16
Shrek SuperSlam,770000.0,480000.0,210000.0,0.0,70000.0,64.7,5.2,2005-10-25
Shrek Superslam,220000.0,170000.0,40000.0,0.0,10000.0,70.0,5.1,2005-10-25
Shrek Swamp Kart Speedway,300000.0,220000.0,80000.0,0.0,10000.0,27.0,8.6,2002-03-19
Shrek the Third,2060000.0,1530000.0,290000.0,0.0,260000.0,59.2,4.1,2007-05-02
Shrek: Forever After,920000.0,630000.0,210000.0,0.0,100000.0,63.2,3.1,2010-05-18
Shrek: Hassle at the Castle,660000.0,470000.0,170000.0,0.0,10000.0,71.0,7.8,2002-10-10
Sid Meier's Civilization Revolution,2060000.0,1440000.0,390000.0,30000.0,190000.0,83.0,7.9,2008-07-08
Sid Meier's Civilization V: Game of the Year Edition,10000.0,0.0,10000.0,0.0,0.0,42.0,7.4,2011-09-26
Sid Meier's Civilization VI,250000.0,120000.0,110000.0,10000.0,20000.0,86.0,7.9,2018-11-16
Sid Meier's Civilization: Beyond Earth,400000.0,140000.0,230000.0,0.0,30000.0,81.0,5.5,2014-10-24
Sigma Star Saga,50000.0,40000.0,10000.0,0.0,0.0,68.0,8.5,2005-08-16
Silent Hill,1600000.0,710000.0,480000.0,300000.0,100000.0,86.0,9.1,1999-01-31
Silent Hill 2,1280000.0,620000.0,490000.0,0.0,160000.0,89.0,9.1,2001-09-24
Silent Hill 2: Restless Dreams,280000.0,210000.0,60000.0,0.0,10000.0,84.0,8.6,2001-12-20
Silent Hill 3,710000.0,350000.0,270000.0,0.0,90000.0,85.0,8.9,2003-08-06
Silent Hill 4: The Room,690000.0,390000.0,230000.0,0.0,70000.0,76.0,8.0,2004-09-07
Silent Hill HD Collection,510000.0,260000.0,160000.0,40000.0,60000.0,69.5,5.2,2012-03-20
Silent Hill: Book of Memories,230000.0,110000.0,60000.0,0.0,50000.0,58.0,5.0,2012-10-16
Silent Hill: Downpour,790000.0,430000.0,240000.0,40000.0,90000.0,66.0,7.1,2012-03-13
Silent Hill: Homecoming,840000.0,430000.0,300000.0,0.0,100000.0,70.5,6.8,2008-09-30
Silent Hill: Origins,590000.0,250000.0,190000.0,40000.0,110000.0,74.0,7.8,2007-11-06
Silent Hill: Shattered Memories,1370000.0,440000.0,540000.0,30000.0,350000.0,76.3,7.6,2010-01-19
Silent Hunter III,80000.0,0.0,70000.0,0.0,10000.0,90.0,7.8,2005-03-18
Silent Hunter: Wolves of the Pacific,40000.0,0.0,40000.0,0.0,0.0,79.0,7.1,2007-03-20
Silent Scope,30000.0,20000.0,10000.0,0.0,0.0,70.0,8.0,2002-09-04
Silhouette Mirage,50000.0,30000.0,20000.0,0.0,0.0,69.0,6.8,1999-12-31
Silpheed: The Lost Planet,70000.0,30000.0,30000.0,0.0,10000.0,72.0,7.8,2001-04-23
SimAnimals,520000.0,260000.0,210000.0,0.0,50000.0,70.0,7.5,2009-01-21
SimAnimals Africa,120000.0,100000.0,10000.0,0.0,10000.0,53.0,6.3,2009-10-27
SimCity,30000.0,0.0,20000.0,0.0,0.0,64.0,2.2,1989-01-01
SimCity 2000,110000.0,80000.0,30000.0,0.0,0.0,62.0,7.8,2003-11-13
SimCity 3000 Unlimited,10000.0,10000.0,0.0,0.0,0.0,77.0,8.5,2000-05-16
SimCity 4,280000.0,10000.0,240000.0,0.0,20000.0,84.0,8.7,2003-01-12
SimCity 4: Deluxe Edition,70000.0,0.0,60000.0,0.0,10000.0,67.0,8.3,2003-09-22
SimCity Creator,460000.0,360000.0,30000.0,40000.0,40000.0,67.0,6.8,2008-09-22
SimCity DS,600000.0,330000.0,30000.0,210000.0,30000.0,69.0,6.4,2007-06-19
Sin and Punishment: Star Successor,430000.0,190000.0,140000.0,60000.0,30000.0,87.0,8.5,2010-06-27
Sine Mora EX,140000.0,60000.0,50000.0,0.0,10000.0,77.0,7.4,2017-08-08
Sing Party,300000.0,150000.0,130000.0,0.0,30000.0,60.0,5.5,2012-11-18
