,game,Watch_time,Stream_time,Peak_viewers,Peak_channels,Streamers,Average_viewers,Average_channels,Average_viewer_ratio,global_sales,na_sales,eu_sales,jp_sales,other_sales,meta_critic_score,meta_user_score,release_date
105,evolve,388255140,20735220,131628,723,62108,734,37,58.52,1900000.0,880000.0,710000.0,50000.0,240000.0,75.7,4.6,2015-02-10
106,until dawn,386229660,7369860,86211,225,72981,733,12,219.56,1900000.0,620000.0,920000.0,60000.0,300000.0,79.0,8.3,2015-08-25
107,dishonored 2,379526340,17445360,381873,866,56194,717,30,97.88,3090000.0,1170000.0,1500000.0,10000.0,410000.0,87.3,7.4,2016-11-10
108,madden nfl 16,378266820,70983420,37085,1328,124950,2168,365,15.5,5120000.0,3870000.0,400000.0,0.0,870000.0,83.3,4.4,2015-08-25
109,the evil within,376026360,28677540,70086,373,76905,713,52,63.31,3910000.0,1470000.0,1680000.0,250000.0,500000.0,68.5,7.5,2014-10-14
110,mass effect: andromeda,374783640,19607100,78700,1253,36393,711,37,38.32,130000.0,40000.0,80000.0,0.0,10000.0,72.0,4.9,2017-03-21
111,forza horizon 4,357791520,35941740,63912,1046,107998,680,67,21.16,1840000.0,740000.0,950000.0,10000.0,150000.0,92.0,7.9,2018-10-02
112,thehunter: call of the wild,340187700,22347720,145410,253,44805,645,40,72.8,450000.0,370000.0,0.0,0.0,60000.0,79.0,7.2,2017-10-02
113,guitar hero iii: legends of rock,337017360,20481420,43825,162,38527,638,35,95.93,16380000.0,11140000.0,2570000.0,40000.0,2640000.0,83.0,7.9,2007-10-28
114,let it die,332346060,19647480,95157,652,49275,629,35,83.01,10000.0,0.0,10000.0,10000.0,0.0,72.0,7.2,2020-12-31
115,the elder scrolls iv: oblivion,318539640,12315000,473778,98,22377,604,22,130.91,7590000.0,4580000.0,1890000.0,270000.0,850000.0,93.5,8.4,2009-07-07
116,ea sports ufc 2,317961000,23706480,111417,353,80501,602,43,36.67,610000.0,360000.0,190000.0,0.0,60000.0,76.0,5.6,2016-03-15
117,call of duty: ghosts,300595380,21751440,104517,364,67082,569,40,51.98,15320000.0,6380000.0,6100000.0,450000.0,2390000.0,71.5,3.0,2013-11-05
118,hitman 2,296591580,6619680,104490,302,27792,564,12,101.41,730000.0,330000.0,280000.0,20000.0,100000.0,83.0,7.8,2018-11-13
119,naruto shippuden: ultimate ninja storm 4,295702380,25574280,143802,809,126675,558,46,54.81,350000.0,250000.0,70000.0,0.0,30000.0,80.0,8.2,2016-02-09
120,watch dogs 2,295444800,10912560,82195,329,80892,559,18,91.96,4710000.0,1690000.0,2270000.0,120000.0,640000.0,81.5,7.5,2016-11-15
121,ea sports ufc 3,290982480,5177640,246392,117,38353,553,9,112.58,1410000.0,700000.0,510000.0,10000.0,200000.0,76.0,4.5,2018-02-02
122,south park: the stick of truth,287285580,10808940,99776,189,42522,544,18,119.68,2170000.0,1160000.0,730000.0,0.0,280000.0,84.2,8.2,2014-03-04
123,dead space,286848960,13775460,71683,291,48027,543,25,109.17000000000002,3990000.0,1940000.0,1590000.0,0.0,480000.0,87.7,8.5,2008-10-13
124,shadow of the tomb raider,284553240,21009000,86415,1316,50955,540,39,23.49,2520000.0,1050000.0,1070000.0,60000.0,340000.0,78.5,7.2,2018-09-14
125,battleborn,281874180,21268620,68364,1279,56093,533,38,47.54,960000.0,570000.0,230000.0,30000.0,130000.0,69.3,7.0,2016-05-03
